순위,선수명,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
1,이정후,키움,0.349,142,627,553,85,193,36,10,23,318,113,0,3
2,피렐라,삼성,0.342,141,630,561,102,192,33,4,28,317,109,0,2
3,박건우,NC,0.336,111,463,408,52,137,18,1,10,187,61,0,3
4,이대호,롯데,0.331,142,591,540,53,179,23,0,23,271,101,0,6
5,나성범,KIA,0.320,144,649,563,92,180,39,2,21,286,97,0,5
6,김혜성,키움,0.318,129,566,516,81,164,18,7,4,208,48,0,3
7,문보경,LG,0.315,126,466,406,52,128,22,3,9,183,56,5,7
8,소크라테스,KIA,0.311,127,554,514,83,160,29,7,17,254,77,0,4
9,페르난데스,두산,0.309,139,550,508,52,157,28,0,6,203,77,0,5
10,조용호,KT,0.308,131,531,474,52,146,18,4,3,181,44,2,3
11,한동희,롯데,0.307,129,499,456,43,140,27,0,14,209,65,0,4
12,전준우,롯데,0.304,120,517,470,73,143,31,1,11,209,68,0,9
13,최지훈,SSG,0.304,144,640,569,93,173,32,4,10,243,61,13,4
14,박성한,SSG,0.298,140,564,494,68,147,24,4,2,185,56,6,2
15,마티니,NC,0.296,139,576,510,67,151,34,1,16,235,85,0,7
16,채은성,LG,0.296,126,526,467,48,138,26,2,12,204,83,0,11
17,박해민,LG,0.289,144,636,570,97,165,20,8,3,210,49,7,6
18,허경민,두산,0.289,121,493,432,59,125,23,0,8,172,60,2,7
19,터크먼,한화,0.289,144,648,575,88,166,37,4,12,247,43,0,2
20,김선빈,KIA,0.287,140,587,505,51,145,23,0,3,177,61,7,3
21,김현수,LG,0.286,141,604,524,78,150,25,2,23,248,106,0,3
22,홍창기,LG,0.286,118,525,437,76,125,19,4,1,155,51,5,5
23,안치홍,롯데,0.284,132,562,493,71,140,27,3,14,215,58,8,5
24,양의지,NC,0.283,130,510,427,61,121,24,0,20,205,94,0,10
25,노시환,한화,0.281,115,490,434,55,122,24,1,6,166,59,0,4
26,노진혁,NC,0.280,115,451,396,50,111,24,0,15,180,75,3,5
27,손아섭,NC,0.277,138,617,548,72,152,29,4,4,201,48,1,6
28,푸이그,키움,0.277,126,547,473,65,131,30,0,21,224,73,0,4
29,박병호,KT,0.275,124,487,429,72,118,17,0,35,240,98,0,6
30,류지혁,KIA,0.274,127,477,405,55,111,19,2,2,140,48,8,2
31,정은원,한화,0.274,140,601,508,67,139,20,2,8,187,49,4,3
32,박찬호,KIA,0.272,130,566,493,81,134,22,0,4,168,45,8,7
33,오지환,LG,0.269,142,569,494,75,133,16,4,25,232,87,3,3
34,오재일,삼성,0.268,135,536,470,57,126,42,0,21,231,94,0,7
35,이지영,키움,0.267,137,450,420,38,112,13,4,2,139,37,8,0
35,박민우,NC,0.267,104,451,390,61,104,22,1,4,140,38,6,3
37,배정대,KT,0.266,144,575,508,64,135,24,2,6,181,56,5,4
38,최정,SSG,0.266,121,505,414,80,110,21,0,26,209,87,0,6
39,최형우,KIA,0.264,132,530,454,55,120,27,1,14,191,71,0,2
40,한유섬,SSG,0.264,135,545,458,62,121,33,1,21,219,100,0,5
41,강승호,두산,0.264,134,487,444,54,117,28,1,10,177,62,6,5
42,황재균,KT,0.262,141,581,519,59,136,25,3,10,197,64,2,2
43,정수빈,두산,0.259,127,455,405,58,105,12,4,3,134,41,6,4
44,추신수,SSG,0.259,112,499,409,77,106,20,1,16,176,58,2,4
45,하주석,한화,0.258,125,483,445,50,115,18,2,5,152,58,1,3
46,황대인,KIA,0.256,129,524,476,40,122,27,0,14,191,91,0,5
47,유강남,LG,0.255,139,469,416,54,106,16,0,8,146,47,6,2
48,김재환,두산,0.248,128,517,448,64,111,24,1,23,206,72,0,4
49,송성문,키움,0.247,142,601,547,67,135,21,4,13,203,79,1,7
50,양석환,두산,0.244,107,446,405,58,99,14,1,20,175,51,0,2
51,박동원,KIA,0.242,123,447,385,52,93,21,0,18,168,57,7,1
52,김태연,한화,0.240,119,464,404,46,97,18,0,7,136,53,3,4
53,심우준,KT,0.240,132,449,388,69,93,8,2,4,117,34,11,4
