순위,팀명,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF
1,KT,0.289,22,906,778,139,225,45,4,18,332,131,9,8
2,한화,0.271,21,870,757,124,205,31,4,18,298,117,7,7
3,삼성,0.269,21,860,728,115,196,36,7,15,291,107,4,5
4,KIA,0.266,22,874,744,109,198,40,0,17,289,105,14,8
5,SSG,0.266,21,851,722,119,192,42,2,22,304,110,7,7
6,LG,0.265,21,825,688,96,182,30,1,12,250,93,12,9
7,NC,0.252,21,829,713,98,180,33,0,20,273,89,7,1
8,롯데,0.250,21,788,711,65,178,32,2,17,265,61,6,6
9,두산,0.250,22,868,752,100,188,36,5,18,288,92,10,10
10,키움,0.232,22,833,736,74,171,36,1,11,242,67,8,6
